status,jan,mfci,message,price,currency
2,,144274,"Shipping is $5.99 (within the US)!

Give this secondhand waifu a second chance at laifu!
Good Civilization => https://www.akibasoul.com/product/Phat!-Jack-the-Ripper-PHAT-407",16599,USD
1,,1459748,"Shipping is $5.99 (within the US)!

Show off your bravado and get this husbando!
Good Civilization => https://www.akibasoul.com/product/Hobby-Max-Dazai-Osamu-HBMX-93",,
